fund_code,nav_date,unit_nav,accumulated_nav,daily_return,created_at
023037,2025-05-15,0.979,,-1.1,2026-06-12 06:28:58
023037,2025-05-16,0.9771,,-0.19,2026-06-12 06:28:58
023037,2025-05-19,0.9828,,0.58,2026-06-12 06:28:58
023037,2025-05-20,0.99,,0.73,2026-06-12 06:28:58
023037,2025-05-21,1.0172,,2.75,2026-06-12 06:28:58
023037,2025-05-22,1.0091,,-0.8,2026-06-12 06:28:58
023037,2025-05-23,1.0087,,-0.04,2026-06-12 06:28:58
023037,2025-05-26,1.0068,,-0.19,2026-06-12 06:28:58
023037,2025-05-27,0.9893,,-1.74,2026-06-12 06:28:58
023037,2025-05-28,0.9949,,0.57,2026-06-12 06:28:58
023037,2025-05-29,0.9945,,-0.04,2026-06-12 06:28:58
023037,2025-05-30,0.9857,,-0.88,2026-06-12 06:28:58
023037,2025-06-03,0.9963,,1.08,2026-06-12 06:28:58
023037,2025-06-04,1.0054,,0.91,2026-06-12 06:28:58
023037,2025-06-05,1.0008,,-0.46,2026-06-12 06:28:58
023037,2025-06-06,1.011,,1.02,2026-06-12 06:28:58
023037,2025-06-09,1.012,,0.1,2026-06-12 06:28:58
023037,2025-06-10,1.0233,,1.12,2026-06-12 06:28:58
023037,2025-06-11,1.0427,,1.9,2026-06-12 06:28:58
023037,2025-06-12,1.0519,,0.88,2026-06-12 06:28:58
023037,2025-06-13,1.0599,,0.76,2026-06-12 06:28:58
023037,2025-06-16,1.0534,,-0.61,2026-06-12 06:28:58
023037,2025-06-17,1.0497,,-0.35,2026-06-12 06:28:58
023037,2025-06-18,1.0539,,0.4,2026-06-12 06:28:58
023037,2025-06-19,1.0294,,-2.32,2026-06-12 06:28:58
023037,2025-06-20,1.0294,,0.0,2026-06-12 06:28:58
023037,2025-06-23,1.0326,,0.31,2026-06-12 06:28:58
023037,2025-06-24,1.0425,,0.96,2026-06-12 06:28:58
023037,2025-06-25,1.0501,,0.73,2026-06-12 06:28:58
023037,2025-06-26,1.0631,,1.24,2026-06-12 06:28:58
023037,2025-06-27,1.0717,,0.81,2026-06-12 06:28:58
023037,2025-06-30,1.0667,,-0.47,2026-06-12 06:28:58
023037,2025-07-01,1.0731,,0.6,2026-06-12 06:28:58
023037,2025-07-02,1.0905,,1.62,2026-06-12 06:28:58
023037,2025-07-03,1.0961,,0.51,2026-06-12 06:28:58
023037,2025-07-04,1.0885,,-0.69,2026-06-12 06:28:58
023037,2025-07-07,1.0633,,-2.32,2026-06-12 06:28:58
023037,2025-07-08,1.0698,,0.61,2026-06-12 06:28:58
023037,2025-07-09,1.0494,,-1.91,2026-06-12 06:28:58
023037,2025-07-10,1.0578,,0.8,2026-06-12 06:28:58
023037,2025-07-11,1.0733,,1.47,2026-06-12 06:28:58
023037,2025-07-14,1.0747,,0.13,2026-06-12 06:28:58
023037,2025-07-15,1.0692,,-0.51,2026-06-12 06:28:58
023037,2025-07-16,1.0653,,-0.36,2026-06-12 06:28:58
023037,2025-07-17,1.0679,,0.24,2026-06-12 06:28:58
023037,2025-07-18,1.0921,,2.27,2026-06-12 06:28:58
023037,2025-07-21,1.1227,,2.8,2026-06-12 06:28:58
023037,2025-07-22,1.1486,,2.31,2026-06-12 06:28:58
023037,2025-07-23,1.1464,,-0.19,2026-06-12 06:28:58
023037,2025-07-24,1.178,,2.76,2026-06-12 06:28:58
023037,2025-07-25,1.1807,,0.23,2026-06-12 06:28:58
023037,2025-07-28,1.1701,,-0.9,2026-06-12 06:28:58
023037,2025-07-29,1.1758,,0.49,2026-06-12 06:28:58
023037,2025-07-30,1.164,,-1.0,2026-06-12 06:28:58
023037,2025-07-31,1.1268,,-3.2,2026-06-12 06:28:58
023037,2025-08-01,1.1107,,-1.43,2026-06-12 06:28:58
023037,2025-08-04,1.1315,,1.87,2026-06-12 06:28:58
023037,2025-08-05,1.1405,,0.8,2026-06-12 06:28:58
023037,2025-08-06,1.157,,1.45,2026-06-12 06:28:58
023037,2025-08-07,1.1721,,1.31,2026-06-12 06:28:58
023037,2025-08-08,1.1921,,1.71,2026-06-12 06:28:58
023037,2025-08-11,1.1822,,-0.83,2026-06-12 06:28:58
023037,2025-08-12,1.1808,,-0.12,2026-06-12 06:28:58
023037,2025-08-13,1.2015,,1.75,2026-06-12 06:28:58
023037,2025-08-14,1.1911,,-0.87,2026-06-12 06:28:58
023037,2025-08-15,1.2229,,2.67,2026-06-12 06:28:58
023037,2025-08-18,1.2134,,-0.78,2026-06-12 06:28:58
023037,2025-08-19,1.2138,,0.03,2026-06-12 06:28:58
023037,2025-08-20,1.2237,,0.82,2026-06-12 06:28:58
023037,2025-08-21,1.2211,,-0.21,2026-06-12 06:28:58
023037,2025-08-22,1.2324,,0.93,2026-06-12 06:28:58
023037,2025-08-25,1.2868,,4.41,2026-06-12 06:28:58
023037,2025-08-26,1.2859,,-0.07,2026-06-12 06:28:58
023037,2025-08-27,1.2729,,-1.01,2026-06-12 06:28:58
023037,2025-08-28,1.2817,,0.69,2026-06-12 06:28:58
023037,2025-08-29,1.3218,,3.13,2026-06-12 06:28:58
023037,2025-09-01,1.3611,,2.97,2026-06-12 06:28:58
023037,2025-09-02,1.3565,,-0.34,2026-06-12 06:28:58
023037,2025-09-03,1.3578,,0.1,2026-06-12 06:28:58
023037,2025-09-04,1.3064,,-3.79,2026-06-12 06:28:58
023037,2025-09-05,1.3623,,4.28,2026-06-12 06:28:58
023037,2025-09-08,1.3589,,-0.25,2026-06-12 06:28:58
023037,2025-09-09,1.372,,0.96,2026-06-12 06:28:58
023037,2025-09-10,1.3551,,-1.23,2026-06-12 06:28:58
023037,2025-09-11,1.3815,,1.95,2026-06-12 06:28:58
023037,2025-09-12,1.4277,,3.34,2026-06-12 06:28:58
023037,2025-09-15,1.4177,,-0.7,2026-06-12 06:28:58
023037,2025-09-16,1.3996,,-1.28,2026-06-12 06:28:58
023037,2025-09-17,1.3913,,-0.59,2026-06-12 06:28:58
023037,2025-09-18,1.3616,,-2.13,2026-06-12 06:28:58
023037,2025-09-19,1.3904,,2.12,2026-06-12 06:28:58
023037,2025-09-22,1.4018,,0.82,2026-06-12 06:28:58
023037,2025-09-23,1.3912,,-0.76,2026-06-12 06:28:58
023037,2025-09-24,1.3973,,0.44,2026-06-12 06:28:58
023037,2025-09-25,1.4234,,1.87,2026-06-12 06:28:58
023037,2025-09-26,1.429,,0.39,2026-06-12 06:28:58
023037,2025-09-29,1.4959,,4.68,2026-06-12 06:28:58
023037,2025-09-30,1.5572,,4.1,2026-06-12 06:28:58
023037,2025-10-09,1.7106,,9.85,2026-06-12 06:28:58
023037,2025-10-10,1.6296,,-4.74,2026-06-12 06:28:58
023037,2025-10-13,1.6704,,2.5,2026-06-12 06:28:58
023037,2025-10-14,1.6064,,-3.83,2026-06-12 06:28:58
023037,2025-10-15,1.6223,,0.99,2026-06-12 06:28:58
023037,2025-10-16,1.5934,,-1.78,2026-06-12 06:28:58
023037,2025-10-17,1.5586,,-2.18,2026-06-12 06:28:58
023037,2025-10-20,1.5431,,-0.99,2026-06-12 06:28:58
023037,2025-10-21,1.5563,,0.86,2026-06-12 06:28:58
023037,2025-10-22,1.548,,-0.53,2026-06-12 06:28:58
023037,2025-10-23,1.5785,,1.97,2026-06-12 06:28:58
023037,2025-10-24,1.6098,,1.98,2026-06-12 06:28:58
023037,2025-10-27,1.647,,2.31,2026-06-12 06:28:58
023037,2025-10-28,1.6044,,-2.59,2026-06-12 06:28:58
023037,2025-10-29,1.6484,,2.74,2026-06-12 06:28:58
023037,2025-10-30,1.689,,2.46,2026-06-12 06:28:58
023037,2025-10-31,1.6491,,-2.36,2026-06-12 06:28:58
023037,2025-11-03,1.6426,,-0.39,2026-06-12 06:28:58
023037,2025-11-04,1.593,,-3.02,2026-06-12 06:28:58
023037,2025-11-05,1.6019,,0.56,2026-06-12 06:28:58
023037,2025-11-06,1.6784,,4.78,2026-06-12 06:28:58
023037,2025-11-07,1.6916,,0.79,2026-06-12 06:28:58
023037,2025-11-10,1.6944,,0.17,2026-06-12 06:28:58
023037,2025-11-11,1.6862,,-0.48,2026-06-12 06:28:58
023037,2025-11-12,1.6898,,0.21,2026-06-12 06:28:58
023037,2025-11-13,1.7554,,3.88,2026-06-12 06:28:58
023037,2025-11-14,1.7208,,-1.97,2026-06-12 06:28:58
023037,2025-11-17,1.7097,,-0.65,2026-06-12 06:28:58
023037,2025-11-18,1.6534,,-3.29,2026-06-12 06:28:58
023037,2025-11-19,1.6865,,2.0,2026-06-12 06:28:58
023037,2025-11-20,1.6831,,-0.2,2026-06-12 06:28:58
023037,2025-11-21,1.599,,-5.0,2026-06-12 06:28:58
023037,2025-11-24,1.5942,,-0.3,2026-06-12 06:28:58
023037,2025-11-25,1.6122,,1.13,2026-06-12 06:28:58
023037,2025-11-26,1.6042,,-0.5,2026-06-12 06:28:58
023037,2025-11-27,1.6098,,0.35,2026-06-12 06:28:58
023037,2025-11-28,1.6343,,1.52,2026-06-12 06:28:58
023037,2025-12-01,1.6881,,3.29,2026-06-12 06:28:58
023037,2025-12-02,1.676,,-0.72,2026-06-12 06:28:58
023037,2025-12-03,1.6922,,0.97,2026-06-12 06:28:58
023037,2025-12-04,1.6896,,-0.15,2026-06-12 06:28:58
023037,2025-12-05,1.7351,,2.69,2026-06-12 06:28:58
023037,2025-12-08,1.7347,,-0.02,2026-06-12 06:28:58
023037,2025-12-09,1.6726,,-3.58,2026-06-12 06:28:58
023037,2025-12-10,1.694,,1.28,2026-06-12 06:28:58
023037,2025-12-11,1.6773,,-0.99,2026-06-12 06:28:58
023037,2025-12-12,1.7031,,1.54,2026-06-12 06:28:58
023037,2025-12-15,1.6996,,-0.21,2026-06-12 06:28:58
023037,2025-12-16,1.6581,,-2.44,2026-06-12 06:28:58
023037,2025-12-17,1.703,,2.71,2026-06-12 06:28:58
023037,2025-12-18,1.6902,,-0.75,2026-06-12 06:28:58
023037,2025-12-19,1.7154,,1.49,2026-06-12 06:28:58
023037,2025-12-22,1.7572,,2.44,2026-06-12 06:28:58
023037,2025-12-23,1.7697,,0.71,2026-06-12 06:28:58
023037,2025-12-24,1.7721,,0.14,2026-06-12 06:28:58
023037,2025-12-25,1.76,,-0.68,2026-06-12 06:28:58
023037,2025-12-26,1.8074,,2.69,2026-06-12 06:28:58
023037,2025-12-29,1.7589,,-2.68,2026-06-12 06:28:58
023037,2025-12-30,1.791,,1.83,2026-06-12 06:28:58
023037,2025-12-31,1.8031,,0.68,2026-06-12 06:28:58
023037,2026-01-05,1.8467,,2.42,2026-06-12 06:28:58
023037,2026-01-06,1.9132,,3.6,2026-06-12 06:28:58
023037,2026-01-07,1.9196,,0.33,2026-06-12 06:28:58
023037,2026-01-08,1.889,,-1.59,2026-06-12 06:28:58
023037,2026-01-09,1.9299,,2.17,2026-06-12 06:28:58
023037,2026-01-12,1.9419,,0.62,2026-06-12 06:28:58
023037,2026-01-13,1.9753,,1.72,2026-06-12 06:28:58
023037,2026-01-14,1.9961,,1.05,2026-06-12 06:28:58
023037,2026-01-15,2.0244,,1.42,2026-06-12 06:28:58
023037,2026-01-16,2.0132,,-0.55,2026-06-12 06:28:58
023037,2026-01-19,2.0298,,0.82,2026-06-12 06:28:58
023037,2026-01-20,2.0358,,0.3,2026-06-12 06:28:58
023037,2026-01-21,2.0829,,2.31,2026-06-12 06:28:58
023037,2026-01-22,2.0705,,-0.6,2026-06-12 06:28:58
023037,2026-01-23,2.1306,,2.9,2026-06-12 06:28:58
023037,2026-01-26,2.2165,,4.03,2026-06-12 06:28:58
023037,2026-01-27,2.1914,,-1.13,2026-06-12 06:28:58
023037,2026-01-28,2.3045,,5.16,2026-06-12 06:28:58
023037,2026-01-29,2.2949,,-0.42,2026-06-12 06:28:58
023037,2026-01-30,2.1433,,-6.61,2026-06-12 06:28:58
023037,2026-02-02,1.9942,,-6.96,2026-06-12 06:28:58
023037,2026-02-03,2.0538,,2.99,2026-06-12 06:28:58
023037,2026-02-04,2.0682,,0.7,2026-06-12 06:28:58
023037,2026-02-05,1.9917,,-3.7,2026-06-12 06:28:58
023037,2026-02-06,2.0116,,1.0,2026-06-12 06:28:58
023037,2026-02-09,2.031,,0.96,2026-06-12 06:28:58
023037,2026-02-10,2.0316,,0.03,2026-06-12 06:28:58
023037,2026-02-11,2.0968,,3.21,2026-06-12 06:28:58
023037,2026-02-12,2.1068,,0.48,2026-06-12 06:28:58
023037,2026-02-13,2.037,,-3.31,2026-06-12 06:28:58
023037,2026-02-24,2.0941,,2.8,2026-06-12 06:28:58
023037,2026-02-25,2.1606,,3.18,2026-06-12 06:28:58
023037,2026-02-26,2.1536,,-0.32,2026-06-12 06:28:58
023037,2026-02-27,2.2157,,2.88,2026-06-12 06:28:58
023037,2026-03-02,2.2926,,3.47,2026-06-12 06:28:58
023037,2026-03-03,2.2293,,-2.76,2026-06-12 06:28:58
023037,2026-03-04,2.2033,,-1.17,2026-06-12 06:28:58
023037,2026-03-05,2.1886,,-0.67,2026-06-12 06:28:58
023037,2026-03-06,2.1598,,-1.32,2026-06-12 06:28:58
023037,2026-03-09,2.1488,,-0.51,2026-06-12 06:28:58
023037,2026-03-10,2.1389,,-0.46,2026-06-12 06:28:58
023037,2026-03-11,2.1461,,0.34,2026-06-12 06:28:58
023037,2026-03-12,2.1575,,0.53,2026-06-12 06:28:58
023037,2026-03-13,2.1005,,-2.64,2026-06-12 06:28:58
023037,2026-03-16,2.0443,,-2.68,2026-06-12 06:28:58
023037,2026-03-17,2.0008,,-2.13,2026-06-12 06:28:58
023037,2026-03-18,1.9905,,-0.51,2026-06-12 06:28:58
023037,2026-03-19,1.8984,,-4.63,2026-06-12 06:28:58
023037,2026-03-20,1.8909,,-0.4,2026-06-12 06:28:58
023037,2026-03-23,1.8431,,-2.53,2026-06-12 06:28:58
023037,2026-03-24,1.8874,,2.4,2026-06-12 06:28:58
023037,2026-03-25,1.9208,,1.77,2026-06-12 06:28:58
023037,2026-03-26,1.8944,,-1.37,2026-06-12 06:28:58
023037,2026-03-27,1.9443,,2.63,2026-06-12 06:28:58
023037,2026-03-30,1.965,,1.06,2026-06-12 06:28:58
023037,2026-03-31,1.9115,,-2.72,2026-06-12 06:28:58
023037,2026-04-01,1.9459,,1.8,2026-06-12 06:28:58
023037,2026-04-02,1.9224,,-1.21,2026-06-12 06:28:58
023037,2026-04-03,1.9058,,-0.86,2026-06-12 06:28:58
023037,2026-04-07,1.9137,,0.41,2026-06-12 06:28:58
023037,2026-04-08,2.005,,4.77,2026-06-12 06:28:58
023037,2026-04-09,1.9946,,-0.52,2026-06-12 06:28:58
023037,2026-04-10,1.9856,,-0.45,2026-06-12 06:28:58
023037,2026-04-13,1.9971,,0.58,2026-06-12 06:28:58
023037,2026-04-14,2.0251,,1.4,2026-06-12 06:28:58
023037,2026-04-15,1.9952,,-1.48,2026-06-12 06:28:58
023037,2026-04-16,2.0537,,2.93,2026-06-12 06:28:58
023037,2026-04-17,2.0376,,-0.78,2026-06-12 06:28:58
023037,2026-04-20,2.0293,,-0.41,2026-06-12 06:28:58
023037,2026-04-21,2.0293,,0.0,2026-06-12 06:28:58
023037,2026-04-22,2.0179,,-0.56,2026-06-12 06:28:58
023037,2026-04-23,1.97,,-2.37,2026-06-12 06:28:58
023037,2026-04-24,1.986,,0.81,2026-06-12 06:28:58
023037,2026-04-27,1.9668,,-0.97,2026-06-12 06:28:58
023037,2026-04-28,1.9338,,-1.68,2026-06-12 06:28:58
023037,2026-04-29,2.0203,,4.47,2026-06-12 06:28:58
023037,2026-04-30,2.0088,,-0.57,2026-06-12 06:28:58
023037,2026-05-06,2.0313,,1.12,2026-06-12 06:28:58
023037,2026-05-07,2.0083,,-1.13,2026-06-12 06:28:58
023037,2026-05-08,2.0061,,-0.11,2026-06-12 06:28:58
023037,2026-05-11,1.9966,,-0.47,2026-06-12 06:28:58
023037,2026-05-12,1.9841,,-0.63,2026-06-12 06:28:58
023037,2026-05-13,1.9916,,0.38,2026-06-12 06:28:58
023037,2026-05-14,1.9225,,-3.47,2026-06-12 06:28:58
023037,2026-05-15,1.8597,,-3.27,2026-06-12 06:28:58
023037,2026-05-18,1.8384,,-1.15,2026-06-12 06:28:58
023037,2026-05-19,1.8254,,-0.71,2026-06-12 06:28:58
023037,2026-05-20,1.8282,,0.15,2026-06-12 06:28:58
023037,2026-05-21,1.7983,,-1.64,2026-06-12 06:28:58
023037,2026-05-22,1.8532,,3.05,2026-06-12 06:28:58
023037,2026-05-25,1.8606,,0.4,2026-06-12 06:28:58
023037,2026-05-26,1.9207,,3.23,2026-06-12 06:28:58
023037,2026-05-27,1.86,,-3.16,2026-06-12 06:28:58
023037,2026-05-28,1.8512,,-0.47,2026-06-12 06:28:58
023037,2026-05-29,1.8424,,-0.48,2026-06-12 06:28:58
023037,2026-06-01,1.8442,,0.1,2026-06-12 06:28:58
023037,2026-06-02,1.8856,,2.24,2026-06-12 06:28:58
023037,2026-06-03,1.8975,,0.63,2026-06-12 06:28:58
023037,2026-06-04,1.853,,-2.35,2026-06-12 06:28:58
023037,2026-06-05,1.809,,-2.37,2026-06-12 06:28:58
023037,2026-06-08,1.7566,,-2.9,2026-06-12 06:28:58
023037,2026-06-09,1.7755,,1.08,2026-06-12 06:28:58
023037,2026-06-10,1.7344,,-2.31,2026-06-12 06:28:58
023037,2026-06-11,1.7595,,1.45,2026-06-12 06:28:58
